"Level","Role","Label en","Additional Label","Technical Name","Abstract","Type name short","Period type","Balance","Substitution Group","References"
"1","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Disclosure of general basis for preparation of sustainability statement [text block]","","esrs:DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 3; Section: BP-1"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Basis for preparation of sustainability statement","","esrs:BasisForPreparationOfSustainabilityStatement","False","enumeration","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: a; Section: BP-1"
"3","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Scope of consolidation of consolidated sustainability statement is same as for financial statements","","esrs:ScopeOfConsolidationOfConsolidatedSustainabilityStatementIsSameAsForFinancialStatements","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: b; Clause: i; Section: BP-1"
"4","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Disclosure of reasons why scope of consolidation is not same as for financial statements [text block]","","esrs:DisclosureOfReasonsWhyScopeOfConsolidationIsNotSameAsForFinancialStatementsExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: b; Clause: i; Section: BP-1"
"3","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Undertaking is not required to draw-up financial statements","","esrs:UndertakingIsNotRequiredToDrawupFinancialStatements","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: b; Clause: i; Section: BP-1"
"3","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Consolidated sustainability reporting is prepared pursuant to Article 48i of Directive 2013/34/EU","","esrs:ConsolidatedSustainabilityReportingIsPreparedPursuantToArticle48IOfDirective2013NO34NOEu","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: b; Clause: i; Section: BP-1"
"3","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Disclosure of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting [text block]","","esrs:DisclosureOfSubsidiaryUndertakingsIncludedInConsolidationThatAreExemptedFromIndividualOrConsolidatedSustainabilityReportingExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: b; Clause: ii; Section: BP-1"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Disclosure of extent to which sustainability statement covers upstream and downstream value chain [text block]","","esrs:DisclosureOfExtentToWhichSustainabilityStatementCoversUpstreamAndDownstreamValueChainExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: c; Section: BP-1"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used","","esrs:OptionToOmitSpecificPieceOfInformationCorrespondingToIntellectualPropertyKnowhowOrResultsOfInnovationHasBeenUsed","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: d; Section: BP-1"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used","","esrs:OptionAllowedByMemberStateToOmitDisclosureOfImpendingDevelopmentsOrMattersInCourseOfNegotiationHasBeenUsed","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 5; Subparagraph: e; Section: BP-1"
